Model,Dataset,Split_ID,TestTime,Seed,RMSE↓,MAE↓,DIV↓,USR↑,USN↑,FCR↑,FMR↑,BLEU_1↑,BLEU_4↑,R1_F↑,R1_P↑,R1_R↑,R2_F↑,R2_P↑,R2_R↑,RL_F↑,RL_P↑,RL_R↑,HistLen,TextLen,Batch_size,Optimizer,LR,Total_Epoch,Train_Time,Epoch_Time,Num_GPU,GPU_ID
sawer_1,amazon-movies,0,2023-02-08 21:12:52,1111,1.0829868111468968,0.8388823612353735,1.3400490349729448,0.379631425800194,15656,0.28125,0.7978661493695441,19.816269089445512,3.0242391616563262,26.318016323994986,34.4114901627632,24.09626866828613,6.562703097703443,8.739530905025571,6.1289774456602775,19.78700821168124,28.12889083785059,21.264875670186047,20,15,128,SGD,0.25,23,233.92,10.17,4,0
peter,amazon-movies,0,2023-02-10 21:44:33,1111,0.9737373452509394,0.7294490924890936,1.2195969690909434,0.4192046556741028,17288,0.2803460743801653,0.7788554801163918,19.482022153954563,2.91244424588576,26.11091696498842,34.636523373974875,23.727476290279395,6.502500012708317,8.771205966950388,6.017864046719526,19.6909048905135,28.02376047005048,21.067282997205403,0,15,128,SGD,1.0,17,935.81,55.05,1,0
peter,amazon-movies,0,2023-02-12 01:31:02,1111,0.9721913509597164,0.7359454733584253,1.288702892267024,0.4174102812803104,17214,0.2803460743801653,0.7742967992240544,19.514030750305647,2.9323757191123128,26.25303927953325,34.73906122705831,23.716234992241294,6.524115292268346,8.747421925525707,6.037719030080814,19.77644257874727,28.065321506276884,21.14949784427234,0,15,128,SGD,1.0,19,1112.42,58.55,1,0
sawer1_MBR.1,amazon-movies,0,2023-02-13 01:17:33,1111,1.082282646444558,0.8451842518250533,1.2650644645349862,0.3000484966052376,12374,0.2449638429752066,0.791003879728419,19.121576556525447,2.865459443563536,26.12483814803604,35.04288549444951,23.497327767878204,6.4539841094358925,8.760727020850688,5.935731877778434,19.55415755177912,28.3156637521332,20.77603762763801,20,15,128,SGD,1.0,19,1490.92,78.47,1,0
sawer1_M1R.1,amazon-movies,0,2023-02-13 01:44:51,1111,1.0802318718732344,0.8406332271262121,1.2963768382499508,0.2500242483026188,10311,0.2082902892561983,0.7765033947623666,18.864304599550938,2.7703441605982664,25.72691756969516,34.27699900729726,23.23150367118602,6.220758274730943,8.479817406163185,5.700642471011045,19.37874195179545,28.2273502645108,20.59621445345257,20,15,128,SGD,1.0,15,1191.79,79.45,1,0
sawer1_M2R.1,amazon-movies,0,2023-02-13 07:29:10,1111,1.0803662912945666,0.8379142094219229,1.2629196830879323,0.2263336566440349,9334,0.2015754132231405,0.7713142580019399,18.36393276465101,2.657562066726028,25.33772252359229,34.06992384568767,22.85301794740447,6.151258087161332,8.509314783987431,5.6087212173536125,19.108159075163385,28.266691278330462,20.25757079163965,20,15,128,SGD,1.0,15,1190.0,79.33,1,0
sawer2_MBR.1,amazon-movies,0,2023-02-13 08:10:06,1111,1.0814066814177454,0.8390661915104789,1.3022246357956573,0.2844568380213385,11731,0.2233987603305785,0.7981813773035887,19.771921789964225,2.906871078339086,26.2066905250539,34.57979490199422,24.00576628619791,6.431061271008348,8.627753510634209,6.002221078845715,19.68196519626425,28.078130304063865,21.19403055587585,20,15,128,SGD,1.0,18,1415.0,78.61,1,0
sawer2_MBRN,amazon-movies,0,2023-02-13 09:09:05,1111,1.0820061689344185,0.8439555666235092,1.266502880032036,0.2871483996120271,11842,0.2199121900826446,0.7931619786614937,19.52089012212313,2.836116256410832,26.13321789851733,34.680190579438886,23.810061287995328,6.424746533680603,8.651856280372282,5.959760158474998,19.631682527790563,28.19812385319176,21.0129122076867,20,15,128,SGD,1.0,17,1203.37,70.79,1,0
peter,amazon-toys,0,2023-02-13 09:37:19,1111,0.9288560051140676,0.6863769987059319,0.2574818755196112,0.7187094682230869,4433,0.1963109354413702,0.2692931258106355,17.815922667606728,2.251536592342934,19.08339334644648,20.83578346102665,18.14079403087185,3.750131137421811,4.046784477231948,3.618300563825856,15.213225911881183,15.262609067326965,15.23654037272714,0,15,128,SGD,1.0,18,463.46,25.75,1,0
peter,amazon-sports,0,2023-02-13 09:57:04,1111,0.9451779784694464,0.7029985647664341,0.1273850909348215,0.681858450634905,6927,0.231032515687393,0.1525740722512058,17.383477221061483,1.5608978207335176,19.00272044528572,21.932729474810387,17.59022911006374,2.761422332449904,3.207527534971181,2.565010647499081,14.66447744631102,14.67226651792062,14.706404979561784,0,15,128,SGD,1.0,19,879.06,46.27,1,0
sawer2_MBR1,amazon-sports,0,2023-02-13 11:26:45,1111,0.970682749928248,0.7560168686949464,0.356288003613194,0.1684220887882665,1711,0.0964061608670849,0.1599566886504577,15.66474709602012,1.1971854784280294,17.97904274439451,23.85699834612129,15.611526014862958,2.275879260677184,3.070607439393737,1.984035148716712,13.34731831754673,13.354408494678204,13.39354518456792,20,15,128,SGD,1.0,19,1383.91,72.84,1,0
sawer2_MBR.1,amazon-sports,0,2023-02-13 12:12:50,1111,0.9719111176215192,0.7108287130569494,0.3380544673419738,0.2546510483315287,2587,0.1049629207073588,0.1694064376415001,16.301512436762224,1.333698355097665,18.132176019102968,22.88282899194406,16.20514142046773,2.435415036026092,3.1366573949505336,2.1851111832901378,13.774987314405784,13.823263228224349,13.81367940281219,20,15,128,SGD,1.0,18,1304.77,72.49,1,0
sawer2_MBR.1,amazon-toys,0,2023-02-13 12:32:51,1111,0.9644027321412456,0.7316446175023276,0.3041334709639209,0.1872568093385214,1155,0.072463768115942,0.3276588845654993,16.94499389301426,2.019629685560244,18.03513514864202,19.94160598732583,17.192704929815825,3.2116645479267167,3.675454013489032,3.0629310432326,14.561170163475849,14.559667526593596,14.587967021089588,20,15,128,SGD,1.0,15,545.33,36.36,1,0
sawer1_MBR.1,amazon-toys,0,2023-02-13 12:51:06,1111,0.9684034915146112,0.7356870767362077,0.2332480923841113,0.1546692607003891,954,0.064558629776021,0.2568093385214007,17.119688614985403,2.434064314289232,18.257988297925248,20.13378352264539,17.375574238414703,3.694147515618363,4.028452092654427,3.584655184849737,14.720737803922242,14.718979680069172,14.748110595630047,20,15,128,SGD,1.0,16,575.5,35.97,1,0
sawer1_MBR.1,amazon-sports,0,2023-02-13 13:15:42,1111,0.975509925990748,0.7673896601237888,0.2709510823583309,0.2011024707156216,2043,0.0981175128351397,0.1512944187420021,15.791413061358774,1.2470227837443908,17.785288099652135,23.35930133892532,15.732881920498809,2.3885010954426464,3.180279515302648,2.125555127573042,13.38286293520659,13.411425009023196,13.417371857178924,20,15,128,SGD,1.0,17,1226.85,72.17,1,0
sawerN1_MBR.1,amazon-movies,0,2023-02-13 23:29:26,1111,1.1048461057538363,0.8522490318832064,1.2999874533746871,0.2705868089233754,11159,0.2195247933884297,0.7971387002909797,19.27688095911041,2.7539363990278223,25.84116170627213,34.553898689143594,23.431886581195503,6.050946217175652,8.28716770351106,5.616557679845748,19.28779573307072,28.03207006244106,20.665523680436387,20,15,128,SGD,1.0,18,1407.52,78.2,1,0
peterN,amazon-movies,0,2023-02-14 00:41:17,1111,0.999391533213046,0.7457517052829902,1.2519275998215225,0.4250727449078564,17530,0.2694989669421487,0.7721387002909796,19.405481979155294,2.810652934183439,25.629898134487306,33.819430293545224,23.32864393527585,6.121347646432032,8.261645066324988,5.712630980938449,19.308418097653693,27.307982303556987,20.774573887692217,0,15,128,SGD,1.0,22,1249.65,56.8,1,0
peterN,amazon-toys,0,2023-02-14 01:10:17,1111,0.9852843161299214,0.7049667620968711,0.1556430249938749,0.631357516828721,13506,0.233201581027668,0.2444839192221391,18.547775708282245,2.699631413331898,19.770573059891262,21.87794936147124,18.874146336398574,4.164211081247501,4.60297411856406,4.040045736591174,15.902118466504747,15.906172460258103,15.973682380633578,0,15,128,SGD,1.0,17,370.2,21.78,1,0
peterN,amazon-sports,0,2023-02-14 01:26:41,1111,0.9922243078437497,0.7141942145274042,0.10203168788775452,0.549381250164912,20821,0.3080433542498574,0.1374178738225283,16.752143375437655,1.4157196176560647,18.352507135811784,21.585552220397467,17.054843916238674,2.583349070299015,3.0911088114444407,2.4037331628560943,14.196725564723828,14.195682993078702,14.30058626943769,0,15,128,SGD,1.0,20,792.96,39.65,1,0
